,voxel_x,voxel_y,voxel_z,currentStep,struggleValue,rowCount
857,-1.3,1.8,-4.1,0,2.2355074,3
3516,1.0,1.7,-2.9,0,31.6345165,6
1718,0.5,1.6,-3.2,0,13.051143581818183,11
1719,0.5,1.6,-3.0,0,15.947020433333334,6
205,-1.5,1.8,-4.1,0,3.4730048,2
3492,1.0,1.7,-3.0,0,41.4921165,3
3464,1.0,1.7,-3.7,0,9.8234594,1
3463,1.0,1.7,-3.8,0,9.0027613,2
3462,1.0,1.7,-3.9,0,9.0027613,3
1721,0.5,1.6,-2.9,0,26.04063855,4
1724,0.5,1.6,-2.8,0,31.6345165,1
1733,0.5,1.7,-3.7,0,5.4456027,1
1734,0.5,1.7,-3.6,0,5.4456027,1
1735,0.5,1.7,-3.4,0,20.7825794,7
3376,1.0,1.6,-2.9,0,29.401616639999997,10
1737,0.5,1.7,-3.3,0,20.7825794,10
3352,1.0,1.6,-3.0,0,23.483868642857143,14
1738,0.5,1.7,-3.2,0,20.7825794,1
3183,1.0,1.5,-4.0,0,22.3400027,2
1775,0.6,1.5,-2.9,0,31.6345165,8
3207,1.0,1.5,-3.0,0,22.5925501,6
1773,0.6,1.5,-3.2,0,12.278,3
3229,1.0,1.5,-2.9,0,23.276832022222223,9
1742,0.5,1.7,-2.8,0,31.6345165,2
1717,0.5,1.6,-3.3,0,12.278,1
3318,1.0,1.6,-4.0,0,22.3400027,3
3320,1.0,1.6,-3.7,0,9.0027613,1
3321,1.0,1.6,-3.5,0,9.0027613,1
2256,0.8,1.6,-3.4,0,39.324583,2
3324,1.0,1.6,-3.3,0,9.0027613,2
1740,0.5,1.7,-2.9,0,31.6345165,2
3328,1.0,1.6,-3.2,0,5.4456027,1
3319,1.0,1.6,-3.8,0,9.0027613,3
3540,1.0,1.7,-2.8,0,31.6345165,2
1708,0.5,1.5,-2.9,0,31.6345165,13
1695,0.4,1.7,-3.2,0,12.072878666666668,3
1652,0.2,1.8,-3.7,0,41.4921165,1
1651,0.2,1.8,-3.8,0,41.4921165,30
1650,0.2,1.8,-3.9,0,41.4921165,1
1649,0.2,1.7,-2.7,0,20.4700172,1
1647,0.2,1.7,-2.8,0,20.4700172,1
1646,0.2,1.7,-2.9,0,31.6345165,1
1658,0.3,1.6,-3.0,0,9.2590047,8
3879,1.1,1.5,-3.1,0,9.5810185,1
3892,1.1,1.5,-3.0,0,12.897038250000001,4
1644,0.2,1.7,-3.8,0,41.4921165,51
1641,0.2,1.6,-2.8,0,20.4700172,1
3914,1.1,1.5,-2.9,0,17.160492214285714,7
1636,0.2,1.6,-3.1,0,9.2590047,8
1633,0.2,1.5,-3.0,0,22.8450975,11
