,voxel_x,voxel_y,voxel_z,currentStep,struggleValue,rowCount
2593,0.7,1.0,-4.2,0,22.3400027,1
1859,0.3,1.3,-3.6,0,41.4921165,3
1860,0.3,1.3,-3.5,0,41.4921165,2
1861,0.3,1.3,-3.1,0,22.8450975,1
1862,0.3,1.3,-3.0,0,27.239807,2
1863,0.3,1.3,-2.7,0,31.6345165,1
1865,0.3,1.3,-2.6,0,20.4700172,4
1868,0.3,1.4,-3.7,0,41.4921165,1
5017,1.1,1.3,-4.0,0,9.8234594,9
5018,1.1,1.3,-3.9,0,9.0027613,4
3476,0.9,1.0,-3.6,0,22.3400027,2
3486,0.9,1.0,-2.8,0,9.2590047,2
1869,0.3,1.4,-3.6,0,41.4921165,4
1870,0.3,1.4,-3.5,0,41.4921165,1
3329,0.9,0.8,-2.7,0,12.072878666666668,3
1888,0.4,0.8,-3.1,0,20.7825794,14
1889,0.4,0.8,-3.0,0,10.984166075000001,4
1890,0.4,0.8,-2.9,0,7.7180283,1
1892,0.4,0.8,-2.8,0,7.7180283,1
3496,0.9,1.0,-2.7,0,41.4921165,2
1855,0.3,1.2,-2.6,0,20.4700172,1
1850,0.3,1.2,-2.9,0,22.8450975,2
1849,0.3,1.2,-3.1,0,22.8450975,1
3475,0.9,1.0,-4.3,0,22.3400027,1
1812,0.3,0.9,-2.9,0,21.4769528,1
1815,0.3,1.0,-3.6,0,41.4921165,1
1816,0.3,1.0,-3.5,0,41.4921165,2
1823,0.3,1.1,-3.6,0,41.4921165,6
1824,0.3,1.1,-3.5,0,41.4921165,1
1825,0.3,1.1,-3.3,0,22.8450975,1
1826,0.3,1.1,-3.2,0,22.8450975,1
1827,0.3,1.1,-3.0,0,22.845097499999998,3
1828,0.3,1.1,-2.9,0,22.8450975,15
5030,1.1,1.3,-2.9,0,41.4921165,3
1831,0.3,1.1,-2.8,0,22.8450975,1
6009,1.3,1.0,-2.9,0,5.4230068,1
5950,1.3,0.9,-2.8,0,12.278,2
1841,0.3,1.2,-4.1,0,41.4921165,1
1842,0.3,1.2,-4.0,0,41.4921165,1
1843,0.3,1.2,-3.8,0,41.4921165,1
1845,0.3,1.2,-3.7,0,41.4921165,2
1846,0.3,1.2,-3.6,0,41.4921165,29
1847,0.3,1.2,-3.5,0,41.4921165,2
1848,0.3,1.2,-3.3,0,22.8450975,1
1833,0.3,1.1,-2.7,0,5.8036658,1
1906,0.4,0.9,-3.2,0,20.7825794,1
1907,0.4,0.9,-3.1,0,20.7825794,1
6028,1.3,1.0,-2.8,0,9.5810185,1
480,-1.3,1.3,-4.2,0,3.4730048,1
3577,0.9,1.1,-2.7,0,9.8234594,1
3615,0.9,1.2,-3.6,0,39.324583,15
6086,1.3,1.1,-2.9,0,21.476952800000003,3
3616,0.9,1.2,-3.5,0,39.324583,12
2025,0.5,0.9,-2.8,0,31.6345165,1
3618,0.9,1.2,-3.2,0,39.324583,2
3620,0.9,1.2,-3.1,0,39.324583,1
5088,1.1,1.4,-4.0,0,9.8234594,1
5063,1.1,1.3,-2.7,0,9.8234594,1
5089,1.1,1.4,-3.9,0,9.0027613,6
5091,1.1,1.4,-3.7,0,9.0027613,1
5092,1.1,1.4,-3.6,0,9.0027613,2
3623,0.9,1.2,-3.0,0,39.324583,1
1653,-0.2,0.9,-2.4,0,21.4769528,1
3125,0.8,1.2,-3.6,0,9.8234594,1
3659,0.9,1.3,-3.8,0,9.8234594,1
2062,0.5,1.0,-3.3,0,9.2590047,1
2063,0.5,1.0,-3.1,0,9.2590047,1
4753,1.1,1.0,-2.8,0,20.4467606,2
5090,1.1,1.4,-3.8,0,9.0027613,1
450,-1.3,1.2,-4.1,0,3.3410101,1
1993,0.5,0.8,-2.8,0,27.648435133333333,12
1990,0.5,0.8,-3.1,0,7.7180283,3
1922,0.4,1.0,-3.4,0,9.2590047,3
3555,0.9,1.1,-3.6,0,39.324583,6
1932,0.4,1.1,-3.0,0,22.8450975,1
1933,0.4,1.1,-2.9,0,22.8450975,1
3556,0.9,1.1,-3.5,0,38.53460252093023,43
1945,0.4,1.2,-3.6,0,41.4921165,4
1946,0.4,1.2,-3.2,0,22.8450975,1
1947,0.4,1.2,-2.9,0,31.6345165,1
1951,0.4,1.3,-3.6,0,41.4921165,5
1991,0.5,0.8,-2.9,0,14.25030385,2
1952,0.4,1.3,-2.9,0,31.6345165,1
1953,0.4,1.3,-2.7,0,26.052266850000002,2
1955,0.4,1.4,-3.6,0,41.4921165,3
