,voxel_x,voxel_y,voxel_z,currentStep,struggleValue,rowCount
1103,-1.3,1.2,-4.6,0,3.3410101,1
3456,1.0,1.1,-3.3,0,5.4456027,1
1848,0.1,1.2,-3.0,0,15.02551785,2
3460,1.0,1.1,-3.2,0,12.278,1
3467,1.0,1.1,-3.1,0,14.683509071428572,7
1847,0.1,1.2,-3.1,0,9.5810185,1
1846,0.1,1.2,-3.9,0,41.4921165,1
1845,0.1,1.2,-4.0,0,41.4921165,2
1844,0.1,1.1,-2.5,0,21.4769528,5
1843,0.1,1.1,-2.9,0,20.4700172,2
1842,0.1,1.1,-3.0,0,15.02551785,2
3547,1.0,1.2,-3.8,0,39.324583,35
3548,1.0,1.2,-3.7,0,39.324583,11
1841,0.1,1.1,-3.1,0,15.52898565,4
3555,1.0,1.2,-3.2,0,12.278,1
3562,1.0,1.2,-3.1,0,12.278,1
1840,0.1,1.0,-2.5,0,21.4769528,1
1839,0.1,1.0,-2.9,0,20.4700172,5
1837,0.1,1.0,-3.0,0,31.6345165,1
3634,1.0,1.3,-4.1,0,9.0027613,1
3635,1.0,1.3,-3.8,0,39.324583,3
3636,1.0,1.3,-3.7,0,39.324583,1
3698,1.0,1.4,-4.1,0,9.0027613,7
3699,1.0,1.4,-4.0,0,9.0027613,3
1831,0.1,0.9,-3.2,0,22.845097499999998,3
3744,1.0,1.5,-4.2,0,9.8234594,8
3745,1.0,1.5,-4.1,0,9.276327333333333,3
3746,1.0,1.5,-3.9,0,9.8234594,1
1849,0.1,1.2,-2.9,0,15.02551785,2
3452,1.0,1.1,-3.4,0,22.38509285,2
3450,1.0,1.1,-3.6,0,39.324583,1
3449,1.0,1.1,-3.7,0,39.324583,14
2903,0.9,1.2,-3.8,0,39.324583,1
2904,0.9,1.2,-3.7,0,39.324583,9
2906,0.9,1.2,-3.3,0,20.7825794,3
2908,0.9,1.2,-3.2,0,17.9477196,3
1867,0.2,1.1,-3.5,0,9.2590047,3
3144,1.0,0.8,-3.1,0,31.6345165,1
1866,0.2,1.1,-3.6,0,41.4921165,1
1864,0.2,1.0,-3.0,0,31.6345165,1
3275,1.0,0.9,-3.0,0,31.6345165,1
1863,0.2,1.0,-3.1,0,21.4769528,1
1862,0.2,1.0,-3.6,0,41.4921165,1
1861,0.2,1.0,-3.7,0,41.4921165,1
3356,1.0,1.0,-4.3,0,22.3400027,1
3747,1.0,1.5,-3.8,0,9.8234594,1
3357,1.0,1.0,-4.2,0,39.324583,1
3359,1.0,1.0,-3.7,0,22.3400027,3
3362,1.0,1.0,-3.3,0,5.4456027,1
1860,0.2,0.9,-3.2,0,22.8450975,2
1859,0.2,0.9,-3.3,0,22.845097499999998,3
3373,1.0,1.0,-3.1,0,20.7825794,1
3384,1.0,1.0,-3.0,0,20.7825794,1
1854,0.2,0.8,-3.2,0,22.845097499999998,3
1853,0.2,0.8,-3.3,0,22.8450975,2
1851,0.1,1.2,-2.7,0,31.6345165,1
1850,0.1,1.2,-2.8,0,7.314606880000001,5
3446,1.0,1.1,-4.4,0,22.3400027,2
3447,1.0,1.1,-4.3,0,22.3400027,2
3448,1.0,1.1,-4.1,0,39.324583,1
3358,1.0,1.0,-3.8,0,39.324583,18
3748,1.0,1.5,-3.7,0,9.8234594,3
1928,0.4,1.1,-3.8,0,37.69774662631579,19
1830,0.1,0.9,-3.3,0,22.8450975,13
1804,0.0,0.9,-3.3,0,22.8450975,2
4438,1.1,1.2,-3.3,0,39.324583,1
1800,0.0,0.8,-3.3,0,22.8450975,1
4449,1.1,1.2,-3.1,0,21.4769528,1
1797,0.0,0.7,-3.3,0,22.8450975,2
1795,-0.1,1.2,-2.9,0,5.8036658,1
4529,1.1,1.3,-3.6,0,9.0027613,1
1794,-0.1,1.2,-3.0,0,20.4700172,1
1793,-0.1,1.2,-4.1,0,41.4921165,2
1792,-0.1,1.1,-2.5,0,21.4769528,1
1791,-0.1,1.1,-2.8,0,31.6345165,1
4611,1.1,1.4,-4.1,0,9.8234594,1
4612,1.1,1.4,-4.0,0,9.0027613,2
4378,1.1,1.1,-2.9,0,41.4921165,1
4613,1.1,1.4,-3.9,0,9.0027613,1
4615,1.1,1.4,-3.7,0,9.0027613,1
1790,-0.1,1.1,-2.9,0,21.476952800000003,6
4692,1.1,1.5,-4.1,0,9.8234594,3
4693,1.1,1.5,-4.0,0,9.8234594,1
4694,1.1,1.5,-3.9,0,9.8234594,1
1789,-0.1,1.1,-3.0,0,21.8655796125,8
1788,-0.1,1.1,-3.1,0,21.4769528,1
1787,-0.1,1.1,-3.2,0,9.5810185,1
4967,1.2,0.9,-3.1,0,22.8450975,4
1784,-0.1,1.0,-3.1,0,31.6345165,2
5077,1.2,1.0,-3.2,0,22.8450975,4
5088,1.2,1.0,-3.1,0,22.718823800000003,4
5107,1.2,1.0,-3.0,0,19.903006966666666,6
4614,1.1,1.4,-3.8,0,9.0027613,1
2902,0.9,1.2,-3.9,0,39.324583,3
1806,0.0,1.0,-3.1,0,31.6345165,2
4341,1.1,1.1,-3.1,0,31.232800750000003,4
1829,0.1,0.9,-3.4,0,22.8450975,1
431,-1.5,1.2,-4.1,0,3.3410101,3
1821,0.1,0.7,-3.3,0,22.8450975,1
4050,1.1,0.9,-4.1,0,22.3400027,1
1819,0.0,1.3,-4.1,0,41.4921165,1
4081,1.1,0.9,-3.1,0,17.466011233333333,3
1818,0.0,1.2,-2.8,0,5.8036658,5
412,-1.5,1.2,-4.3,0,3.4730048,2
1817,0.0,1.2,-4.0,0,41.4921165,1
1816,0.0,1.2,-4.1,0,41.4921165,1
1815,0.0,1.1,-2.5,0,21.4769528,1
4191,1.1,1.0,-4.2,0,22.3400027,2
4192,1.1,1.0,-4.0,0,22.3400027,1
4360,1.1,1.1,-3.0,0,17.31927422,5
403,-1.5,1.2,-4.4,0,3.4730048,3
4194,1.1,1.0,-3.8,0,22.3400027,1
4195,1.1,1.0,-3.7,0,22.340002699999996,28
1814,0.0,1.1,-2.7,0,31.6345165,1
4213,1.1,1.0,-3.1,0,22.5925501,2
1813,0.0,1.1,-2.9,0,21.1413076,3
4234,1.1,1.0,-3.0,0,31.6345165,1
1812,0.0,1.1,-3.0,0,20.4700172,1
1811,0.0,1.1,-3.2,0,21.4769528,1
4326,1.1,1.1,-4.4,0,22.3400027,1
4327,1.1,1.1,-4.3,0,22.3400027,1
4328,1.1,1.1,-3.7,0,22.3400027,2
4334,1.1,1.1,-3.2,0,21.476952800000003,3
1808,0.0,1.0,-3.0,0,31.6345165,3
4193,1.1,1.0,-3.9,0,22.3400027,1
1776,-0.2,1.1,-2.6,0,21.476952800000003,3
2901,0.9,1.2,-4.1,0,39.324583,1
1869,0.2,1.1,-3.0,0,20.561850733333333,3
2002,0.6,0.9,-3.1,0,31.6345165,1
2003,0.6,0.9,-3.0,0,31.6345165,3
2028,0.6,1.0,-4.1,0,22.3400027,1
2029,0.6,1.0,-4.0,0,22.3400027,1
2033,0.6,1.0,-2.9,0,31.6345165,1
2043,0.6,1.1,-3.8,0,5.4456027,1
2044,0.6,1.1,-3.2,0,20.7825794,1
2046,0.6,1.1,-3.1,0,9.2590047,4
2049,0.6,1.1,-2.9,0,31.6345165,2
2055,0.6,1.2,-3.7,0,20.7825794,2
2056,0.6,1.2,-3.4,0,20.7825794,1
2057,0.6,1.2,-3.2,0,20.7825794,1
2058,0.6,1.2,-3.1,0,15.02079205,2
1906,0.3,1.2,-3.7,0,41.4921165,4
1905,0.3,1.2,-3.8,0,41.4921165,6
1904,0.3,1.1,-2.5,0,21.4769528,1
2116,0.7,0.9,-3.0,0,31.6345165,3
2150,0.7,1.0,-4.3,0,22.3400027,1
2151,0.7,1.0,-4.2,0,22.340002699999996,7
2152,0.7,1.0,-3.5,0,12.278,1
2153,0.7,1.0,-3.4,0,12.278,1
2154,0.7,1.0,-3.3,0,12.278,10
2156,0.7,1.0,-3.2,0,12.278,2
1903,0.3,1.1,-2.9,0,20.4700172,1
2159,0.7,1.0,-3.0,0,31.6345165,6
2160,0.7,1.0,-2.9,0,31.6345165,1
1902,0.3,1.1,-3.0,0,31.6345165,1
1987,0.6,0.8,-3.0,0,31.6345165,3
1984,0.6,0.8,-3.1,0,31.6345165,1
1910,0.4,0.8,-3.3,0,7.7180283,2
1982,0.6,0.8,-3.2,0,7.7180283,1
1929,0.4,1.1,-3.7,0,5.4456027,1
1930,0.4,1.1,-3.3,0,9.2590047,1
1931,0.4,1.2,-3.8,0,41.4921165,8
1932,0.4,1.2,-2.8,0,31.6345165,1
1933,0.4,1.3,-3.9,0,41.4921165,10
1934,0.4,1.3,-3.8,0,41.4921165,1
1935,0.4,1.3,-3.7,0,41.4921165,1
1938,0.5,0.8,-3.3,0,7.7180283,2
1939,0.5,0.8,-3.2,0,19.676272400000002,2
1920,0.4,1.0,-3.1,0,22.8450975,1
1941,0.5,0.8,-3.1,0,31.6345165,13
1942,0.5,0.8,-3.0,0,31.6345165,1
1948,0.5,0.9,-3.2,0,31.6345165,1
1901,0.3,1.1,-3.4,0,9.2590047,1
1956,0.5,1.0,-3.9,0,22.3400027,1
1961,0.5,1.1,-4.0,0,20.7825794,1
1962,0.5,1.1,-3.8,0,5.4456027,2
1963,0.5,1.1,-3.3,0,9.2590047,1
1964,0.5,1.1,-3.2,0,9.2590047,1
1965,0.5,1.1,-3.1,0,16.0520511,2
1966,0.5,1.2,-4.0,0,20.7825794,1
1967,0.5,1.2,-3.9,0,20.7825794,1
1968,0.5,1.2,-2.8,0,31.6345165,1
1970,0.5,1.3,-3.8,0,20.7825794,2
1971,0.5,1.3,-3.7,0,20.7825794,2
1972,0.5,1.3,-2.9,0,20.4700172,2
1974,0.5,1.4,-3.9,0,41.4921165,1
1981,0.6,0.8,-3.3,0,7.7180283,2
1913,0.4,0.9,-3.2,0,22.8450975,2
2183,0.7,1.1,-3.6,0,5.4456027,1
2185,0.7,1.1,-3.2,0,20.7825794,4
2187,0.7,1.1,-3.0,0,31.6345165,6
2463,0.8,1.2,-3.2,0,20.7825794,1
2465,0.8,1.2,-3.0,0,9.2590047,1
2477,0.8,1.3,-4.1,0,9.0027613,2
